id,name,normalized_name,food_group,food_subgroup
506,"Cattle (Beef, Veal)",beef,Animal foods,Bovines
541,Domestic goat,goat,Animal foods,Caprae
540,Rabbit,rabbit,Animal foods,Lagomorphs
483,"Sheep (Mutton, Lamb)",mutton,Animal foods,Ovis
334,"Chicken (Cock, Hen, Rooster)",chicken,Animal foods,Poultry
358,Mallard duck,mallard duck,Animal foods,Poultry
505,Turkey,turkey,Animal foods,Poultry
555,Quail,quail,Animal foods,Poultry
624,"Columbidae (Dove, Pigeon)",pigeon,Animal foods,Poultry
549,"Domestic pig (Piglet, Pork)",pork,Animal foods,Swine
306,Blue crab,blue crab,Aquatic foods,Crustaceans
359,Dungeness crab,dungeness crab,Aquatic foods,Crustaceans
404,American lobster,lobster,Aquatic foods,Crustaceans
546,Shrimp,shrimp,Aquatic foods,Crustaceans
547,Crayfish,crayfish,Aquatic foods,Crustaceans
587,Crab,crab,Aquatic foods,Crustaceans
294,Atlantic mackerel,mackerel,Aquatic foods,Fishes
299,Striped bass,striped bass,Aquatic foods,Fishes
309,Bluefish,bluefish,Aquatic foods,Fishes
327,Common carp,carp,Aquatic foods,Fishes
342,Pacific cod,pacific cod,Aquatic foods,Fishes
377,Grouper,grouper,Aquatic foods,Fishes
379,Haddock,haddock,Aquatic foods,Fishes
380,Hippoglossus (Common halibut),halibut,Aquatic foods,Fishes
414,Monkfish,monkfish,Aquatic foods,Fishes
454,Rainbow trout,rainbow trout,Aquatic foods,Fishes
458,Orange roughy,orange roughy,Aquatic foods,Fishes
459,Sablefish,sablefish,Aquatic foods,Fishes
460,Pink salmon,salmon,Aquatic foods,Fishes
461,Chum salmon,chum salmon,Aquatic foods,Fishes
463,Sockeye salmon,sockeye salmon,Aquatic foods,Fishes
470,Spanish mackerel,spanish mackerel,Aquatic foods,Fishes
471,Pacific sardine,sardine,Aquatic foods,Fishes
487,Snapper,snapper,Aquatic foods,Fishes
498,Swordfish,swordfish,Aquatic foods,Fishes
514,Whitefish,whitefish,Aquatic foods,Fishes
515,Whiting,whiting,Aquatic foods,Fishes
522,Yellowfin tuna,yellowfin tuna,Aquatic foods,Fishes
524,Pollock,pollock,Aquatic foods,Fishes
525,Albacore tuna,albacore tuna,Aquatic foods,Fishes
526,Gadus (Common cod),cod,Aquatic foods,Fishes
528,Pacific halibut,pacific halibut,Aquatic foods,Fishes
529,Pacific salmon,pacific salmon,Aquatic foods,Fishes
530,Smelt,smelt,Aquatic foods,Fishes
580,Anchovy,anchovy,Aquatic foods,Fishes
584,Sturgeon,sturgeon,Aquatic foods,Fishes
585,Charr,charr,Aquatic foods,Fishes
588,Common dab,dab,Aquatic foods,Fishes
597,Lemon sole,lemon sole,Aquatic foods,Fishes
619,Catfish,catfish,Aquatic foods,Fishes
621,Thunnus (Common tuna),tuna,Aquatic foods,Fishes
723,Cichlidae (Tilapia),tilapia,Aquatic foods,Fishes
307,Blue mussel,blue mussel,Aquatic foods,Mollusks
344,Common octopus,octopus,Aquatic foods,Mollusks
352,Cuttlefish,cuttlefish,Aquatic foods,Mollusks
472,Scallop,scallop,Aquatic foods,Mollusks
545,Squid,squid,Aquatic foods,Mollusks
601,Marine mussel,mussel,Aquatic foods,Mollusks
606,True oyster,oyster,Aquatic foods,Mollusks
617,Snail,snail,Aquatic foods,Mollusks
625,Conch,conch,Aquatic foods,Mollusks
396,Kelp,kelp,Aquatic foods,Seaweed
564,Wakame,wakame,Aquatic foods,Seaweed
616,Kombu,kombu,Aquatic foods,Seaweed
684,Gelatin,gelatin,Baking goods,Baking goods
739,Topping,topping,Baking goods,Baking goods
758,Pectin,pectin,Baking goods,Baking goods
776,Spread,spread,Baking goods,Baking goods
803,Phyllo dough,phyllo dough,Baking goods,Baking goods
804,Cooking oil,oil,Baking goods,Baking goods
806,Pie filling,pie filling,Baking goods,Baking goods
811,Molasses,molasses,Baking goods,Baking goods
867,Stuffing,stuffing,Baking goods,Baking goods
673,Mustard,mustard,Baking goods,Condiments
697,Remoulade,remoulade,Baking goods,Condiments
781,Ketchup,ketchup,Baking goods,Condiments
789,Relish,relish,Baking goods,Condiments
645,Vinegar,vinegar,Baking goods,Seasonings
666,Salt,salt,Baking goods,Seasonings
783,Adobo,adobo,Baking goods,Seasonings
670,Sugar,sugar,Baking goods,Sugars
805,Pie crust,pie crust,Baking goods,Wrappers
846,Wonton wrapper,wonton wrapper,Baking goods,Wrappers
277,Spirit,spirit,Beverages,Distilled beverages
630,Liquor,liquor,Beverages,Distilled beverages
639,Vodka,vodka,Beverages,Distilled beverages
640,Whisky,whisky,Beverages,Distilled beverages
642,Gin,gin,Beverages,Distilled beverages
646,Rum,rum,Beverages,Distilled beverages
268,Beer,beer,Beverages,Fermented beverages
627,Berry wine,berry wine,Beverages,Fermented beverages
628,Other wine,wine,Beverages,Fermented beverages
629,Apple cider,apple cider,Beverages,Fermented beverages
763,Sake,sake,Beverages,Fermented beverages
278,Fortified wine,fortified wine,Beverages,Fortified wines
647,Port wine,port wine,Beverages,Fortified wines
648,Vermouth,vermouth,Beverages,Fortified wines
650,Madeira wine,madeira wine,Beverages,Fortified wines
788,Fruit juice,fruit juice,Beverages,Other beverages
851,Vegetable juice,vegetable juice,Beverages,Other beverages
685,Water,water,Beverages,Waters
274,Pasta,pasta,Cereals and cereal products,Cereal products
275,Biscuit,biscuit,Cereals and cereal products,Cereal products
766,Bulgur,bulgur,Cereals and cereal products,Cereal products
770,Semolina,semolina,Cereals and cereal products,Cereal products
825,Flour,flour,Cereals and cereal products,Cereal products
841,Corn grits,corn grits,Cereals and cereal products,Cereal products
22,Oat,oat,Cereals and cereal products,Cereals
79,Common buckwheat,buckwheat,Cereals and cereal products,Cereals
88,Barley,barley,Cereals and cereal products,Cereals
125,Rice,rice,Cereals and cereal products,Cereals
126,Millet,millet,Cereals and cereal products,Cereals
169,Rye,rye,Cereals and cereal products,Cereals
177,Sorghum,sorghum,Cereals and cereal products,Cereals
205,Corn,corn,Cereals and cereal products,Cereals
235,Red rice,red rice,Cereals and cereal products,Cereals
489,Spelt,spelt,Cereals and cereal products,Cereals
516,Wild rice,wild rice,Cereals and cereal products,Cereals
276,Sourdough,sourdough,Cereals and cereal products,Doughs
828,Dough,dough,Cereals and cereal products,Doughs
733,Tortilla,tortilla,Cereals and cereal products,Flat breads
829,Pita bread,pita bread,Cereals and cereal products,Flat breads
830,Focaccia,focaccia,Cereals and cereal products,Flat breads
840,Cornbread,cornbread,Cereals and cereal products,Flat breads
721,Zwieback,zwieback,Cereals and cereal products,Leavened breads
269,Other bread,bread,Cereals and cereal products,Other breads
182,Cocoa bean,cocoa,Cocoa and cocoa products,Cocoa
706,Cocoa butter,cocoa butter,Cocoa and cocoa products,Cocoa products
707,Cocoa powder,cocoa powder,Cocoa and cocoa products,Cocoa products
709,Chocolate,chocolate,Cocoa and cocoa products,Cocoa products
58,Coffee,coffee,Coffee and coffee products,Coffee
683,Marshmallow,marshmallow,Confectioneries,Candies
759,Pudding,pudding,Confectioneries,Desserts
856,Chocolate mousse,chocolate mousse,Confectioneries,Desserts
641,Ice cream,ice cream,Confectioneries,Frozen desserts
854,Frozen yogurt,frozen yogurt,Confectioneries,Frozen desserts
643,Honey,honey,Confectioneries,Other confectioneries
653,Toffee,toffee,Confectioneries,Other confectioneries
663,Marzipan,marzipan,Confectioneries,Other confectioneries
702,Meringue,meringue,Confectioneries,Other confectioneries
724,Icing,icing,Confectioneries,Other confectioneries
738,Dulce de leche,dulce de leche,Confectioneries,Spreads
819,Succotash,succotash,Dishes,American cuisine
742,Egg roll,egg roll,Dishes,Asian cuisine
822,Rice cake,rice cake,Dishes,Asian cuisine
765,Couscous,couscous,Dishes,Berber cuisine
671,Sausage,sausage,Dishes,Ground meat
672,Meatball,meatball,Dishes,Ground meat
674,Pate,pate,Dishes,Ground meat
762,Meatloaf,meatloaf,Dishes,Ground meat
795,Cold cut,cold cut,Dishes,Ground meat
820,Tamale,tamale,Dishes,Latin American cuisine
859,Empanada,empanada,Dishes,Latin American cuisine
