id,name,food_group,food_subgroup
1,Angelica,Herbs and Spices,Herbs
2,Savoy cabbage,Vegetables,Cabbages
3,Silver linden,Herbs and Spices,Herbs
4,Kiwi,Fruits,Tropical fruits
5,Allium (Onion),Vegetables,Onion-family vegetables
6,Garden onion,Vegetables,Onion-family vegetables
7,Leek,Vegetables,Onion-family vegetables
8,Garlic,Herbs and Spices,Herbs
9,Chives,Herbs and Spices,Herbs
10,Lemon verbena,Herbs and Spices,Herbs
11,Cashew nut,Nuts,Nuts
12,Pineapple,Fruits,Tropical fruits
13,Dill,Herbs and Spices,Herbs
14,Custard apple,Fruits,Tropical fruits
15,Wild celery,Herbs and Spices,Spices
16,Peanut,Nuts,Nuts
17,Burdock,Vegetables,Root vegetables
18,Horseradish,Herbs and Spices,Spices
19,Tarragon,Herbs and Spices,Herbs
20,Mugwort,Herbs and Spices,Herbs
21,Asparagus,Vegetables,Shoot vegetables
22,Oat,Cereals and cereal products,Cereals
23,Star fruit,Fruits,Tropical fruits
24,Brazil nut,Nuts,Nuts
25,Common beet,Vegetables,Leaf vegetables
26,Borage,Herbs and Spices,Oilseed crops
27,Chinese mustard,Vegetables,Cabbages
28,Swede,Vegetables,Root vegetables
29,Rape,Vegetables,Root vegetables
30,Common cabbage,Vegetables,Cabbages
31,Cauliflower,Vegetables,Cabbages
32,Brussel sprouts,Vegetables,Cabbages
33,Kohlrabi,Vegetables,Root vegetables
34,Broccoli,Vegetables,Cabbages
35,Chinese cabbage,Vegetables,Cabbages
36,Turnip,Herbs and Spices,Herbs
37,Pigeon pea,Pulses,Peas
38,Tea,Teas,Teas
39,Capers,Herbs and Spices,Spices
40,Pepper (C. annuum),Vegetables,Fruit vegetables
41,Papaya,Fruits,Tropical fruits
42,Safflower,Herbs and Spices,Oilseed crops
43,Caraway,Herbs and Spices,Spices
44,Pecan nut,Nuts,Nuts
45,Chestnut,Nuts,Nuts
46,Roman camomile,Herbs and Spices,Herbs
47,Chickpea,Pulses,Peas
48,Endive,Vegetables,Leaf vegetables
49,Chicory,Vegetables,Root vegetables
50,Chinese cinnamon,Herbs and Spices,Spices
51,Ceylon cinnamon,Herbs and Spices,Spices
52,Watermelon,Gourds,Gourds
53,Lime,Fruits,Citrus
54,Lemon,Fruits,Citrus
55,Pummelo,Fruits,Citrus
56,"Mandarin orange (Clementine, Tangerine)",Fruits,Citrus
57,Sweet orange,Fruits,Citrus
58,Coffee,Coffee and coffee products,Coffee
59,Arabica coffee,Coffee and coffee products,Coffee
60,Robusta coffee,Coffee and coffee products,Coffee
61,Coriander,Herbs and Spices,Herbs
62,Common hazelnut,Nuts,Nuts
63,Saffron,Herbs and Spices,Spices
64,Muskmelon,Gourds,Gourds
65,Cucumber,Gourds,Gourds
66,Cucurbita (Gourd),Gourds,Gourds
67,Cumin,Herbs and Spices,Spices
68,Turmeric,Herbs and Spices,Spices
69,Quince,Fruits,Pomes
70,Lemon grass,Herbs and Spices,Herbs
71,Globe artichoke,Vegetables,Shoot vegetables
72,Wild carrot,Vegetables,Root vegetables
73,Japanese persimmon,Fruits,Tropical fruits
74,Cardamom,Herbs and Spices,Spices
75,Black crowberry,Fruits,Berries
76,Loquat,Fruits,Tropical fruits
77,Rocket salad (ssp.),Vegetables,Leaf vegetables
78,Wax apple,Fruits,Tropical fruits
79,Common buckwheat,Cereals and cereal products,Cereals
80,Tartary buckwheat,Cereals and cereal products,Cereals
81,Fig,Fruits,Other fruits
82,Fennel,Herbs and Spices,Herbs
83,Strawberry,Fruits,Berries
84,Black huckleberry,Fruits,Berries
85,Soy bean,Soy,Soy
86,Sunflower,Herbs and Spices,Oilseed crops
87,Sea-buckthornberry,Fruits,Berries
88,Barley,Cereals and cereal products,Cereals
89,Hyssop,Herbs and Spices,Herbs
90,Star anise,Herbs and Spices,Spices
91,Swamp cabbage,Vegetables,Leaf vegetables
92,Sweet potato,Vegetables,Tubers
93,Black walnut,Nuts,Nuts
94,Common walnut,Nuts,Nuts
95,Lettuce,Vegetables,Leaf vegetables
96,Grass pea,Pulses,Peas
97,Sweet bay,Herbs and Spices,Herbs
98,Lentils,Pulses,Lentils
99,Garden cress,Vegetables,Leaf vegetables
100,Lovage,Herbs and Spices,Herbs
101,Flaxseed,Herbs and Spices,Oilseed crops
102,Mexican oregano,Herbs and Spices,Herbs
103,Lichee,Fruits,Tropical fruits
104,Lupine,Pulses,Other pulses
105,Apple,Fruits,Pomes
106,Mango,Fruits,Tropical fruits
107,German camomile,Herbs and Spices,Herbs
108,Lemon balm,Herbs and Spices,Herbs
109,Mentha (Mint),Herbs and Spices,Herbs
110,Orange mint,Herbs and Spices,Herbs
111,Cornmint,Herbs and Spices,Herbs
112,Spearmint,Herbs and Spices,Herbs
113,Peppermint,Herbs and Spices,Herbs
114,Medlar,Fruits,Pomes
115,Bitter gourd,Gourds,Gourds
116,Mulberry,Fruits,Berries
117,Black mulberry,Fruits,Berries
118,Nutmeg,Herbs and Spices,Spices
119,Sweet basil,Herbs and Spices,Herbs
120,Evening primrose,Herbs and Spices,Oilseed crops
121,Olive,Vegetables,Fruit vegetables
122,Sweet marjoram,Herbs and Spices,Herbs
123,Pot marjoram,Herbs and Spices,Herbs
124,Common oregano,Herbs and Spices,Herbs
125,Rice,Cereals and cereal products,Cereals
126,Millet,Cereals and cereal products,Cereals
127,Poppy,Herbs and Spices,Oilseed crops
128,Passion fruit,Fruits,Tropical fruits
129,Parsnip,Vegetables,Root vegetables
130,Avocado,Vegetables,Fruit vegetables
131,Parsley,Herbs and Spices,Herbs
132,Scarlet bean,Pulses,Beans
133,Lima bean,Pulses,Beans
134,Common bean,Pulses,Beans
135,Date,Fruits,Other fruits
136,Black chokeberry,Fruits,Berries
137,Anise,Herbs and Spices,Herbs
138,Pine nut,Nuts,Nuts
139,Pepper (Spice),Herbs and Spices,Spices
140,Pistachio,Nuts,Nuts
141,Common pea,Pulses,Peas
142,Purslane,Herbs and Spices,Herbs
143,"Prunus (Cherry, Plum)",Fruits,Drupes
144,Apricot,Fruits,Drupes
145,Sweet cherry,Fruits,Drupes
146,Sour cherry,Fruits,Drupes
147,European plum,Fruits,Drupes
148,Almond,Nuts,Nuts
149,Peach,Fruits,Drupes
150,Guava,Fruits,Tropical fruits
151,Pomegranate,Fruits,Tropical fruits
152,Pear,Fruits,Pomes
153,Radish,Vegetables,Root vegetables
